CITY,Year,Homes Heating with Wood (%), Population Ages 16+ Not in Labor Force (%), Workers Commuting by Taxi (%), Population Ages 65–74 (%), Owner-Occupied Housing Units (%), Homes Using Solar Energy (%), Homes with No Heat (%), Homes Heating with Coal (%), Foreign-Born Population (%), Workers Carpooling (%), Homes Using Coal for Heat Energy (%), Employed Ages 19–64 with Health Insurance (%), Homes Using Wood for Heat Energy (%), Homes Using Oil/Kerosene for Heat Energy (%), Labor Force with Public Health Insurance (%)
"Peoria, IL Metro Area",2025,2.28,46.11,1.40,18.90,77.74,100.00,1.24,0.04,100.00,5.87,31.85,9.80,100.00,3.39,-1.03
"Aberdeen, WA Micro Area",2025,0.00,32.97,0.21,12.93,73.03,100.00,0.72,0.00,100.00,13.66,0.00,4.89,100.00,15.32,42.04
"Birmingham-Hoover, AL Metro Area",2025,1.44,28.26,0.59,10.43,63.22,100.00,0.48,0.00,100.00,5.63,0.00,12.47,100.00,4.77,35.47
"Keene, NH Micro Area",2025,0.00,41.22,0.49,14.90,80.40,100.00,0.85,0.40,100.00,9.70,100.00,15.20,100.00,0.00,30.05
"Williamsport, PA Metro Area",2025,0.00,36.44,2.63,9.20,63.12,100.00,0.69,0.00,100.00,7.19,0.00,14.09,100.00,0.00,9.99
"Elkhart-Goshen, IN Metro Area",2025,1.37,50.04,0.22,17.14,78.74,100.00,36.31,0.00,100.00,11.92,5.33,10.13,100.00,1.56,33.44
"Cullman, AL Micro Area",2025,0.00,39.24,0.00,11.11,65.19,100.00,0.69,0.00,100.00,12.49,100.00,25.74,100.00,1.13,77.37
"Las Vegas-Henderson-Paradise, NV Metro Area",2025,0.00,37.63,0.00,12.71,74.09,0.00,0.00,0.32,100.00,7.64,70.53,11.70,0.00,4.84,32.83
"Santa Cruz-Watsonville, CA Metro Area",2025,0.00,42.13,0.00,12.84,77.95,0.00,0.00,0.07,100.00,3.34,100.00,13.04,100.00,2.24,51.39
"Springfield, MO Metro Area",2025,1.10,40.53,1.89,15.68,56.25,100.00,2.76,0.00,100.00,10.15,0.00,24.63,100.00,0.00,48.49
"Bremerton-Silverdale, WA Metro Area",2025,0.00,33.55,0.97,10.93,66.26,100.00,1.32,0.00,100.00,6.90,100.00,4.11,100.00,0.00,28.62
"Minot, ND Micro Area",2025,6.07,53.16,0.00,12.60,73.80,100.00,0.13,0.00,100.00,9.53,0.00,22.66,100.00,11.10,55.56
"Columbia, MO Metro Area",2025,0.61,37.35,0.05,13.06,70.60,100.00,0.90,0.19,100.00,4.52,87.33,19.63,100.00,2.25,56.18
"Seneca, SC Micro Area",2025,1.54,24.28,0.00,5.77,60.18,100.00,0.00,0.00,100.00,5.56,0.00,10.74,100.00,0.00,54.87
"Santa Fe, NM Metro Area",2025,0.00,44.38,0.00,10.48,71.14,0.00,0.00,0.00,100.00,3.67,0.00,9.83,0.00,0.00,32.38
"Pittsburgh, PA Metro Area",2025,0.92,28.02,0.00,8.65,62.53,100.00,0.33,0.00,100.00,7.84,0.00,22.06,0.00,0.00,30.35
"Madison, WI Metro Area",2025,0.00,45.59,0.00,13.86,80.50,100.00,13.78,0.31,100.00,8.29,100.00,36.32,100.00,20.04,76.42
"Centralia, WA Micro Area",2025,0.00,42.45,4.91,14.07,65.39,100.00,2.00,0.01,100.00,7.93,100.00,13.92,100.00,4.29,31.17
"Vallejo-Fairfield, CA Metro Area",2025,0.00,34.88,0.00,11.12,70.17,0.00,0.39,0.00,100.00,4.60,0.00,14.71,100.00,3.45,37.27
"Fairbanks, AK Metro Area",2025,0.00,41.27,0.00,13.90,84.62,100.00,0.00,0.00,100.00,7.49,0.00,1.42,100.00,0.00,27.13
"Sacramento--Roseville--Arden-Arcade, CA Metro Area",2025,0.00,44.81,0.75,16.20,81.23,0.00,0.60,0.12,100.00,7.86,0.00,8.12,0.00,1.99,36.56
"St. Louis, MO-IL Metro Area",2025,0.54,39.17,0.00,8.67,66.17,100.00,1.84,0.00,100.00,13.72,68.90,22.22,100.00,3.40,74.86
"New Philadelphia-Dover, OH Micro Area",2025,1.11,32.61,0.00,9.95,67.25,0.00,1.56,0.01,100.00,7.46,0.00,5.54,0.00,0.00,18.40
"Cleveland-Elyria, OH Metro Area",2025,0.00,32.12,0.00,7.50,68.30,100.00,2.20,0.00,100.00,7.36,0.00,2.52,0.00,0.00,49.76
"Mansfield, OH Metro Area",2025,0.61,54.20,0.00,11.73,65.04,100.00,3.14,0.15,100.00,13.65,100.00,38.63,100.00,0.22,72.35
"Hilton Head Island-Bluffton-Beaufort, SC Metro Area",2025,0.11,33.58,0.95,7.32,65.42,100.00,0.00,1.21,100.00,5.10,100.00,11.23,100.00,12.79,32.86
"South Bend-Mishawaka, IN-MI Metro Area",2025,0.00,55.32,1.31,10.41,55.90,100.00,70.90,0.00,100.00,6.66,0.00,40.99,0.00,0.00,60.28
"El Paso, TX Metro Area",2025,0.76,37.63,0.49,11.54,66.48,100.00,1.86,0.00,100.00,14.53,22.07,24.29,100.00,4.56,60.36
"Coeur d'Alene, ID Metro Area",2025,13.33,45.71,0.00,10.14,75.73,100.00,1.18,0.07,100.00,9.22,0.00,21.19,100.00,4.26,70.90
"Memphis, TN-MS-AR Metro Area",2025,1.05,30.82,0.19,11.43,72.27,0.00,1.85,0.06,100.00,8.72,11.90,12.85,19.80,37.97,57.17
"Bloomsburg-Berwick, PA Metro Area",2025,0.00,40.28,0.00,15.15,86.97,0.00,1.15,0.00,100.00,5.33,0.00,14.85,100.00,0.00,19.22
"Portland-Vancouver-Hillsboro, OR-WA Metro Area",2025,3.60,46.54,0.00,7.98,76.78,0.00,0.37,0.81,100.00,8.87,0.00,11.89,0.00,0.47,34.17
"Cookeville, TN Micro Area",2025,0.00,41.55,0.00,11.60,67.04,100.00,1.42,0.02,100.00,8.16,0.00,11.42,100.00,0.00,43.58
"Valdosta, GA Metro Area",2025,0.00,34.81,0.56,11.41,69.05,100.00,1.58,0.00,100.00,7.32,0.00,18.90,0.00,0.00,30.15
"Indianapolis-Carmel-Anderson, IN Metro Area",2025,5.50,41.57,0.00,12.82,65.41,100.00,0.73,0.00,100.00,10.71,0.00,27.60,100.00,0.00,60.28
"Daphne-Fairhope-Foley, AL Metro Area",2025,3.45,27.67,1.09,11.36,71.91,100.00,0.80,0.38,100.00,11.56,100.00,18.93,100.00,21.39,66.80
"Show Low, AZ Micro Area",2025,0.00,23.93,2.02,6.94,56.29,100.00,4.41,0.10,100.00,5.75,100.00,-0.14,100.00,3.11,21.60
"Jackson, TN Metro Area",2025,1.12,38.74,0.95,14.11,70.71,100.00,1.03,1.30,100.00,11.87,100.00,11.59,100.00,33.18,31.92
"Beckley, WV Metro Area",2025,0.00,42.95,0.12,13.44,58.90,100.00,1.02,0.37,100.00,9.98,100.00,16.76,100.00,0.00,47.06
"Auburn, NY Micro Area",2025,0.00,38.49,0.00,12.82,75.42,0.00,1.23,0.00,100.00,5.88,0.00,12.07,0.00,0.00,66.89
"Champaign-Urbana, IL Metro Area",2025,0.00,41.50,0.00,13.28,77.35,100.00,1.80,0.05,100.00,8.00,100.00,16.49,100.00,3.96,23.33
"Boulder, CO Metro Area",2025,0.00,49.44,0.00,13.49,69.06,100.00,0.75,0.00,100.00,7.27,0.00,15.26,0.00,0.00,58.80
"New Haven-Milford, CT Metro Area",2025,0.00,21.81,1.52,6.94,63.68,100.00,1.58,0.00,100.00,4.46,38.13,6.66,100.00,0.00,31.00
