name,state,latitude,longitude,population,income,housingCost
Huntsville,AL,34.729847,-86.5859011,,,
Huntsville,TX,30.7235263,-95.5507771,,,
Hutchinson,KS,38.0608444,-97.9297743,,,
Idaho Falls,ID,43.4887907,-112.03628,,,
Indiana,PA,40.6424116,-79.1262839,,,
Jonesboro,AR,35.8272257,-90.6949871,,,
Joplin,MO,37.0841838,-94.5133385,,,
Ithaca,NY,42.4374175,-76.5483724,,,
Jackson,MI,32.2998686,-90.1830408,,,
Jackson,MS,32.2998686,-90.1830408,,,
Jackson,TN,35.6144446,-88.8177418,,,
Jacksonville,FL,30.3321838,-81.655651,,,
Jacksonville,NC,34.7494749,-77.4208221,,,
Janesville-Beloit,WI,42.7025807,-89.0065226,,,
Jefferson,GA,33.0380388,-82.436141,,,
Jefferson City,MO,38.577359,-92.1724265,,,
Johnson City,TN,36.3134398,-82.3534728,,,
Johnstown,PA,40.3267407,-78.9219698,,,
Aberdeen,WA,46.975371,-123.815722,,,
Abilene,TX,32.44645,-99.7475905,,,
Adrian,MI,41.8975152,-84.0373054,,,
Akron,OH,41.083064,-81.518485,,,
Alamogordo,NM,32.8998822,-105.9602081,,,
Albany,GA,31.5782062,-84.1556809,,,
Albany,OR,44.6365071,-123.1059324,,,
Albany-Schenectady-Troy,NY,42.7557805,-73.7741253,,,
Albertville,AL,34.2675937,-86.2088669,,,
Albuquerque,NM,35.0841034,-106.650985,,,
Alexandria,LA,31.3119463,-92.4453558,,,
Altoona,PA,40.5193586,-78.3968299,,,
Amarillo,TX,35.20729,-101.8371192,,,
Ames,IA,42.0267567,-93.6170448,,,
Anchorage,AK,61.2163129,-149.894852,,,
Ann Arbor,MI,42.2813722,-83.7484616,,,
Appleton,WI,44.2613967,-88.4069744,,,
Arecibo,PR,18.4047499,-66.6810353,,,
Asheville,NC,35.595363,-82.5508407,,,
Ashtabula,OH,41.8647873,-80.7841284,,,
Athens,OH,39.355589,-82.0610404,,,
Athens,TX,32.2044416,-95.854914,,,
Athens-Clarke County,GA,33.9597677,-83.376398,,,
Atlanta-Sandy Springs-Roswell,GA,33.8785519,-84.3797905,,,
Auburn,NY,42.9320202,-76.5672029,,,
Atlantic City-Hammonton,NJ,39.6012853,-74.8092538,,,
Auburn-Opelika,AL,32.6118107,-85.4369417,,,
Austin-Round Rock,TX,30.4768037,-97.6738169,,,
Bakersfield,CA,35.3738712,-119.019463,,,
Bangor,ME,44.8016255,-68.7713289,,,
Barnstable Town,MA,41.6651395,-70.2873499,,,
Baton Rouge,LA,30.4494155,-91.1869659,,,
Battle Creek,MI,42.3192548,-85.1824269,,,
Bellingham,WA,48.7544012,-122.478836,,,
Bend-Redmond,OR,44.2165084,-121.2150324,,,
Billings,MT,45.7874957,-108.49607,,,
Binghamton,NY,42.098698,-75.9125187,,,
Birmingham-Hoover,AL,33.3629135,-86.8283294,,,
Bismarck,ND,46.808327,-100.783739,,,
Bay City,MI,43.5962107,-83.8881711,,,
Beaumont-Port Arthur,TX,29.9406222,-93.966575,,,
Beaver Dam,WI,43.4577692,-88.837329,,,
Beckley,WV,37.7781702,-81.1881557,,,
Bloomington,IL,40.4797828,-88.9939147,,,
Bloomington,IN,39.1670396,-86.5342881,,,
Bloomsburg-Berwick,PA,41.0097612,-76.4237866,,,
Bluefield,WV-VA,37.2698395,-81.2223195,,,
Boise City,ID,43.6166163,-116.200886,,,
Boulder,CO,40.0149856,-105.270545,,,
Bowling Green,KY,36.9903199,-86.4436018,,,
Bozeman,MT,45.6794293,-111.044047,,,
Brainerd,MN,46.3580221,-94.2008288,,,
Branson,MO,36.6440772,-93.2169256,,,
Brownsville-Harlingen,TX,25.9738093,-97.5098892,,,
Brunswick,GA,31.1499528,-81.4914894,,,
Cape Girardeau,MO-IL,37.2953495,-89.5126233,,,
Carson City,NV,39.1663259,-119.7670374,,,
Casper,WY,42.8501191,-106.325138,,,
Cedar Rapids,IA,41.9758872,-91.6704053,,,
Centralia,WA,46.7204489,-122.96143,,,
Waco,TX,31.5491899,-97.1474628,,,
Walla Walla,WA,46.2055155,-118.5174284,,,
Warner Robins,GA,32.6200973,-83.606568,,,
Warsaw,IN,41.2381017,-85.8530544,,,
Wichita Falls,TX,33.9004572,-98.5020777,,,
Williamsport,PA,41.2411556,-77.0011096,,,
Wilmington,NC,34.2257282,-77.9447107,,,
Wilson,NC,35.7059114,-77.9175714,,,
Watertown-Fort Drum,NY,44.0341615,-75.8420958,,,
Wausau,WI,44.9597858,-89.6272791,,,
Weirton-Steubenville,WV-OH,40.3978457,-80.6220184,,,
Wenatchee,WA,47.4234599,-120.310349,,,
Wheeling,WV-OH,40.1069506,-80.8525981,,,
Wichita,KS,37.6922361,-97.3375448,,,
Winchester,VA-WV,39.1831596,-78.3894505,,,
Winston-Salem,NC,36.0998131,-80.2440518,,,
Wisconsin Rapids-Marshfield,WI,44.3868662,-89.7986752,,,
Wooster,OH,40.7980976,-81.9397733,,,
Worcester,MA-CT,42.0270225,-72.0100291,,,
Yakima,WA,46.601557,-120.510842,,,
York-Hanover,PA,39.856169,-76.9492226,,,
Yuba City,CA,39.1404477,-121.6169108,,,
Yuma,AZ,32.723268,-114.6179954,,,
Zanesville,OH,39.9401426,-82.005019,,,
Charleston-North Charleston,SC,32.8546197,-79.9748103,,,
Champaign-Urbana,IL,40.1157948,-88.241194,,,
Charleston,WV,38.3505995,-81.6332812,,,
Charlottesville,VA,38.029306,-78.4766781,,,
Chattanooga,TN-GA,34.93021,-85.343951,,,
Cheyenne,WY,41.139981,-104.820246,,,
Burlington,NC,36.0956918,-79.4377991,,,
Burlington-South Burlington,VT,44.4690246,-73.1549228,,,
California-Lexington Park,MD,38.2974855,-76.4933648,,,
Cape Coral-Fort Myers,FL,26.5640011,-81.9604574,,,
Chico,CA,39.7284945,-121.8374777,,,
Chillicothe,OH,39.3331197,-82.9824019,,,
Clarksburg,WV,39.2806451,-80.3445341,,,
Clarksville,TN-KY,36.6837373,-87.2918229,,,
Clearlake,CA,38.9582307,-122.626372,,,
Cleveland,TN,35.1595182,-84.8766115,,,
