City,Population,Public Safety,Public Works,Parks & Rec.,Comm. & Econ. Dev.,Public Health,Public Safety per Person,Public Works per Person,Parks & Rec. per Person,Comm. & Econ. Dev. per Person,Public Health per Person,Tax Revenue (% of Golden City),Intergov. Revenue (% of Golden City),Fees & Charges (% of Golden City),Fines (% of Golden City),Licenses & Permits (% of Golden City),Public Safety (% of Golden City),Public Works (% of Golden City),General Gov. (% of Golden City),Parks & Rec. (% of Golden City),Comm. & Econ. Dev. (% of Golden City),Public Health (% of Golden City),Capital Improvements (% of Golden City),Employee Benefits (% of Golden City),Pension Contributions (% of Golden City),Total Revenue (% of Golden City),Total Expenditure (% of Golden City),Revenue per Person (% of Golden City),Expenditure per Person (% of Golden City),Expenditure to Revenue Ratio (% of Golden City)
New York City,"8,046,606.00","$11,178,000,000.00","$2,559,000,000.00","$1,076,000,000.00","$840,000,000.00","$150,000,000.00","$1,389.16",$318.02,$133.72,$104.39,$18.64,14612.56,13960.09,11151.46,8915.39,9438.50,11291.23,8831.75,13283.83,8002.31,8232.83,8596.67,10233.09,13679.45,13313.61,14066.78,11716.01,881.54,397.29,43.12
Yonkers,"209,530.00","$122,500,000.00","$49,000,000.00","$24,500,000.00","$18,400,000.00","$2,000,000.00",$584.64,$233.86,$116.93,$87.82,$9.55,62.48,74.51,125.97,165.10,131.09,123.74,169.11,86.98,182.21,180.34,114.62,143.26,79.47,77.66,71.95,114.65,173.16,149.31,82.49
Schenectady,"68,595.00","$40,000,000.00","$16,000,000.00","$8,000,000.00","$6,000,000.00","$1,000,000.00",$583.13,$233.25,$116.63,$87.47,$14.58,20.40,24.33,41.30,55.03,43.70,40.41,55.22,28.44,59.50,58.81,57.31,46.78,26.06,25.36,23.53,37.57,172.99,149.43,82.65
White Plains,"59,562.00","$35,000,000.00","$14,000,000.00","$7,000,000.00","$5,000,000.00","$800,000.00",$587.62,$235.05,$117.52,$83.95,$13.43,17.85,21.29,35.11,44.03,34.96,35.35,48.32,24.88,52.06,49.00,45.85,40.93,22.15,22.19,20.42,32.63,172.86,149.47,82.72
Mount Vernon,"72,106.00","$42,500,000.00","$17,000,000.00","$8,500,000.00","$6,000,000.00","$1,000,000.00",$589.41,$235.76,$117.88,$83.21,$13.87,21.68,25.85,43.37,55.03,43.70,42.93,58.67,30.10,63.22,58.81,57.31,49.70,27.36,26.94,24.89,39.70,174.06,150.22,82.57
Poughkeepsie,"31,725.00","$18,500,000.00","$7,400,000.00","$3,700,000.00","$3,000,000.00","$400,000.00",$583.14,$233.25,$116.63,$94.56,$12.61,9.44,11.25,18.59,22.01,17.48,18.69,25.54,13.03,27.52,29.40,22.92,21.64,11.73,11.73,10.77,17.33,171.19,149.09,83.32
Saratoga Springs,"28,712.00","$17,000,000.00","$6,800,000.00","$3,400,000.00","$2,500,000.00","$400,000.00",$592.09,$236.83,$118.42,$87.07,$13.93,8.67,10.34,16.52,22.01,17.48,17.17,23.47,12.09,25.29,24.50,22.92,19.88,10.42,10.78,9.88,15.80,173.58,150.11,82.74
Middletown,"30,617.00","$18,000,000.00","$7,200,000.00","$3,600,000.00","$3,000,000.00","$400,000.00",$587.91,$235.16,$117.58,$97.98,$13.06,9.18,10.95,18.59,22.01,17.48,18.18,24.85,12.80,26.77,29.40,22.92,21.05,11.73,11.41,10.53,16.98,173.51,151.32,83.44
Plattsburgh,"19,909.00","$11,500,000.00","$4,600,000.00","$2,300,000.00","$2,000,000.00","$300,000.00",$577.63,$231.05,$115.53,$100.46,$15.07,5.87,7.00,11.77,16.51,8.74,11.62,15.88,8.06,17.11,19.60,17.19,13.45,7.43,7.29,6.68,10.86,169.18,148.78,84.14
Watertown,"24,838.00","$14,500,000.00","$5,800,000.00","$2,900,000.00","$2,000,000.00","$400,000.00",$583.78,$233.51,$116.76,$80.52,$16.10,7.40,8.82,14.87,22.01,17.48,14.65,20.02,10.19,21.57,19.60,22.92,16.96,9.38,9.19,8.56,13.55,173.82,148.83,81.92
Olean,"13,513.00","$8,000,000.00","$3,200,000.00","$1,600,000.00","$1,200,000.00","$200,000.00",$592.02,$236.81,$118.40,$88.80,$14.80,4.08,4.87,8.26,11.01,8.74,8.08,11.04,5.69,11.90,11.76,11.46,9.36,5.21,5.07,4.71,7.51,175.63,151.71,82.65
Peekskill,"25,374.00","$15,000,000.00","$6,000,000.00","$3,000,000.00","$2,300,000.00","$400,000.00",$591.16,$236.46,$118.23,$90.64,$15.76,7.65,9.12,15.49,22.01,17.48,15.15,20.71,10.66,22.31,22.54,22.92,17.54,9.77,9.51,8.85,14.11,175.91,151.73,82.52
Rome,"31,508.00","$18,500,000.00","$7,400,000.00","$3,700,000.00","$3,000,000.00","$400,000.00",$587.15,$234.86,$117.43,$95.21,$12.70,9.44,11.25,18.59,22.01,17.48,18.69,25.54,13.03,27.52,29.40,22.92,21.64,11.73,11.73,10.77,17.33,172.37,150.11,83.32
North Tonawanda,"30,328.00","$18,000,000.00","$7,200,000.00","$3,600,000.00","$3,000,000.00","$400,000.00",$593.51,$237.40,$118.70,$98.92,$13.19,9.18,10.95,18.59,22.01,17.48,18.18,24.85,12.80,26.77,29.40,22.92,21.05,11.73,11.41,10.53,16.98,175.16,152.76,83.44
Port Jervis,"8,650.00","$5,000,000.00","$2,000,000.00","$1,000,000.00","$800,000.00","$100,000.00",$578.03,$231.21,$115.61,$92.49,$11.56,2.55,3.04,5.16,5.50,5.24,5.05,6.90,3.55,7.44,7.84,5.73,5.85,3.26,3.17,2.93,4.70,170.95,148.36,83.03
Long Beach,"34,883.00","$20,500,000.00","$8,200,000.00","$4,100,000.00","$3,000,000.00","$500,000.00",$587.68,$235.07,$117.54,$86.00,$14.33,10.46,12.47,21.06,27.52,17.48,20.71,28.30,14.46,30.49,29.40,28.66,23.97,13.29,13.00,11.95,19.20,172.70,150.17,83.19
Lackawanna,"19,716.00","$11,500,000.00","$4,600,000.00","$2,300,000.00","$2,000,000.00","$300,000.00",$583.28,$233.31,$116.66,$101.44,$15.22,5.87,7.00,11.77,16.51,8.74,11.62,15.88,8.06,17.11,19.60,17.19,13.45,7.43,7.29,6.68,10.86,170.83,150.24,84.14
Mechanicville,"5,081.00","$3,000,000.00","$1,200,000.00","$600,000.00","$500,000.00","$100,000.00",$590.43,$236.17,$118.09,$98.41,$19.68,1.53,1.82,3.10,5.50,3.50,3.03,4.14,2.13,4.46,4.90,5.73,3.51,1.95,19.02,1.77,4.44,176.05,238.28,129.49
Rensselaer,"9,171.00","$5,500,000.00","$2,200,000.00","$1,100,000.00","$900,000.00","$100,000.00",$599.72,$239.89,$119.94,$98.14,$10.90,2.81,3.35,5.58,5.50,5.24,5.56,7.59,3.79,8.18,8.82,5.73,6.43,3.52,3.49,3.20,5.15,176.17,153.13,83.16
Oneonta,"12,812.00","$7,500,000.00","$3,000,000.00","$1,500,000.00","$1,100,000.00","$200,000.00",$585.39,$234.16,$117.08,$85.86,$15.61,3.83,4.56,7.64,11.01,7.87,7.58,10.35,5.21,11.16,10.78,11.46,8.77,4.82,4.75,4.40,7.01,173.12,149.30,82.51
Ogdensburg,"10,291.00","$6,000,000.00","$2,400,000.00","$1,200,000.00","$900,000.00","$100,000.00",$583.03,$233.21,$116.61,$87.46,$9.72,3.06,3.65,6.20,5.50,6.12,6.06,8.28,4.27,8.92,8.82,5.73,7.02,3.91,3.80,3.51,5.62,172.07,149.02,82.85
Oneida,"10,421.00","$6,000,000.00","$2,400,000.00","$1,200,000.00","$900,000.00","$100,000.00",$575.76,$230.30,$115.15,$86.36,$9.60,3.06,3.65,6.20,5.50,6.12,6.06,8.28,4.27,8.92,8.82,5.73,7.02,3.91,3.80,3.51,5.62,169.93,147.16,82.85
Norwich,"6,792.00","$4,000,000.00","$1,600,000.00","$800,000.00","$600,000.00","$100,000.00",$588.93,$235.57,$117.79,$88.34,$14.72,2.04,2.43,4.13,5.50,4.37,4.04,5.52,2.84,5.95,5.88,5.73,4.68,2.61,25.36,2.35,5.89,174.71,236.48,129.50
Sherrill,"3,066.00","$2,000,000.00","$800,000.00","$400,000.00","$300,000.00","$100,000.00",$652.32,$260.93,$130.46,$97.85,$32.62,1.02,1.22,2.07,5.50,2.62,2.02,2.76,1.42,2.97,2.94,5.73,2.34,1.30,12.68,1.19,2.96,196.49,263.25,128.18
Salamanca,"5,587.00","$3,500,000.00","$1,400,000.00","$700,000.00","$500,000.00","$100,000.00",$626.45,$250.58,$125.29,$89.49,$17.90,1.79,2.13,3.51,5.50,3.50,3.54,4.83,2.49,5.21,4.90,5.73,4.09,2.21,22.19,2.05,5.13,184.61,250.65,129.89
Tonawanda,"14,991.00","$9,000,000.00","$3,600,000.00","$1,800,000.00","$1,400,000.00","$200,000.00",$600.36,$240.14,$120.07,$93.39,$13.34,4.59,5.47,9.29,11.01,8.74,9.09,12.42,6.40,13.39,13.72,11.46,10.53,5.86,5.71,5.27,8.46,177.19,153.98,83.14
Hudson,"5,835.00","$3,500,000.00","$1,400,000.00","$700,000.00","$500,000.00","$100,000.00",$599.83,$239.93,$119.97,$85.69,$17.14,1.79,2.13,3.51,5.50,3.50,3.54,4.83,2.49,5.21,4.90,5.73,4.09,2.21,22.19,2.05,5.13,176.77,239.99,129.89
Auburn,"26,173.00","$15,500,000.00","$6,200,000.00","$3,100,000.00","$2,300,000.00","$400,000.00",$592.21,$236.89,$118.44,$87.88,$15.28,7.91,9.43,15.90,22.01,17.48,15.66,21.40,10.90,23.05,22.54,22.92,18.13,10.03,9.83,9.12,14.52,175.77,151.41,82.42
Little Falls,"4,596.00","$2,500,000.00","$1,000,000.00","$500,000.00","$400,000.00","$100,000.00",$543.95,$217.58,$108.79,$87.03,$21.76,1.28,1.52,2.48,5.50,2.62,2.53,3.45,1.78,3.72,3.92,5.73,2.92,1.56,15.85,1.47,3.68,160.87,218.64,130.03
Johnstown,"8,118.00","$5,000,000.00","$2,000,000.00","$1,000,000.00","$800,000.00","$100,000.00",$615.92,$246.37,$123.18,$98.55,$12.32,2.55,3.04,5.16,5.50,5.24,5.05,6.90,3.55,7.44,7.84,5.73,5.85,3.26,3.17,2.93,4.70,182.15,158.08,83.03
Wichita,"398,484.00","$79,800,000.00","$31,900,000.00","$15,900,000.00","$12,000,000.00","$2,000,000.00",$200.26,$80.05,$39.90,$30.11,$5.02,40.70,48.56,82.40,110.07,104.87,80.61,110.09,56.64,118.25,117.61,114.62,93.27,51.98,50.40,47.32,74.90,59.88,51.29,81.94
Overland Park,"197,726.00","$55,800,000.00","$22,300,000.00","$11,100,000.00","$8,400,000.00","$1,400,000.00",$282.21,$112.78,$56.14,$42.48,$7.08,28.49,33.96,57.62,77.05,73.41,56.37,76.96,39.58,82.55,82.33,80.24,65.20,36.35,35.19,33.11,52.36,84.43,72.25,81.87
