City,Revenue per Person,Expenditure per Person,Expenditure to Revenue Ratio,Tax Revenue (% of Golden City),Intergov. Revenue (% of Golden City),Fees & Charges (% of Golden City),Fines (% of Golden City),Licenses & Permits (% of Golden City),Public Safety (% of Golden City),Public Works (% of Golden City),General Gov. (% of Golden City),Parks & Rec. (% of Golden City),Comm. & Econ. Dev. (% of Golden City),Public Health (% of Golden City),Capital Improvements (% of Golden City),Employee Benefits (% of Golden City),Pension Contributions (% of Golden City),Total Revenue (% of Golden City),Total Expenditure (% of Golden City),Revenue per Person (% of Golden City),Expenditure per Person (% of Golden City),Expenditure to Revenue Ratio (% of Golden City)
New York City,"$9,657.74","$4,922.32",0.51,14612.56,13960.09,11151.46,8915.39,9438.50,11291.23,8831.75,13283.83,8002.31,8232.83,8596.67,10233.09,13679.45,13313.61,14066.78,11716.01,881.54,397.29,43.12
Yonkers,"$1,897.10","$1,849.85",0.98,62.48,74.51,125.97,165.10,131.09,123.74,169.11,86.98,182.21,180.34,114.62,143.26,79.47,77.66,71.95,114.65,173.16,149.31,82.49
Schenectady,"$1,895.18","$1,851.45",0.98,20.40,24.33,41.30,55.03,43.70,40.41,55.22,28.44,59.50,58.81,57.31,46.78,26.06,25.36,23.53,37.57,172.99,149.43,82.65
White Plains,"$1,893.82","$1,851.85",0.98,17.85,21.29,35.11,44.03,34.96,35.35,48.32,24.88,52.06,49.00,45.85,40.93,22.15,22.19,20.42,32.63,172.86,149.47,82.72
Mount Vernon,"$1,906.91","$1,861.15",0.98,21.68,25.85,43.37,55.03,43.70,42.93,58.67,30.10,63.22,58.81,57.31,49.70,27.36,26.94,24.89,39.70,174.06,150.22,82.57
Poughkeepsie,"$1,875.49","$1,847.12",0.98,9.44,11.25,18.59,22.01,17.48,18.69,25.54,13.03,27.52,29.40,22.92,21.64,11.73,11.73,10.77,17.33,171.19,149.09,83.32
Saratoga Springs,"$1,901.64","$1,859.85",0.98,8.67,10.34,16.52,22.01,17.48,17.17,23.47,12.09,25.29,24.50,22.92,19.88,10.42,10.78,9.88,15.80,173.58,150.11,82.74
Middletown,"$1,900.90","$1,874.78",0.99,9.18,10.95,18.59,22.01,17.48,18.18,24.85,12.80,26.77,29.40,22.92,21.05,11.73,11.41,10.53,16.98,173.51,151.32,83.44
Plattsburgh,"$1,853.43","$1,843.39",0.99,5.87,7.00,11.77,16.51,8.74,11.62,15.88,8.06,17.11,19.60,17.19,13.45,7.43,7.29,6.68,10.86,169.18,148.78,84.14
Watertown,"$1,904.34","$1,843.95",0.97,7.40,8.82,14.87,22.01,17.48,14.65,20.02,10.19,21.57,19.60,22.92,16.96,9.38,9.19,8.56,13.55,173.82,148.83,81.92
