CITY,TOTAL POPULATION under 18,TOTAL POPULATION under 18,Total Population of 18+,Total Population of 18+,Total Population of 18+,Per Capita Income ,Median Household Income,TOTAL CIVILIAN labor Force,Employed health insurance coverage ages 19-64,Renter Occupied Housing Units,Median Rent for Occupied Housing Units,Estimate of Owner Occupied Housing Units without a Mortgage,Median Housing Cost,Total Population Estimate,Total Male Population Estimate,Total Male Population Estimate,Estimate of Foriegn -born Population,Estimate of Foriegn -born Population,Estimate of ages above 25yrs with a high school degree,Estimate of ages above 25yrs with a high school degree,Estimate of ages above 25yrs with a high school degree,%workers taking taxi to work,Estimate of population >25 with a graduate degree,Estimate of population >25 with a graduate degree,Estimate of voting age population,Estimate of voting age population,Estimate of Homes using Electric Heat,Estimate of homes using Gas,Estimate of Male Citizen voting population ,Estimate of Total Households with comuters and Internet
NAME,"
DP05_0019E","
DP05_0019E",DP05_0025E,DP05_0025E,DP05_0025E,DP03_0088E,DP03_0062E,DP03_0008PE,DP03_0107E,DP04_0047E,DP04_0134E,DP04_0092E,DP04_0089E,DP05_0001E,DP05_0002E,DP05_0002E,DP02_0103E,DP02_0103E,DP02_0061E,DP02_0061E,DP02_0061E,DP03_0021PE,DP02_0065E,DP02_0065E,DP05_0087E,DP05_0087E,DP04_0065E,DP04_0063E,DP05_0088E,DP02_0150PE
CATEGORY,Social,Economic,Political,Social,Economic,Economic,Economic,Economic,Economic,Social,Social,Economic,Social,Social,Political,Social,Political,Social,Political,Social,Economic,Environmental,Political,Social,Political,Social,Environmental,Environmental,Political,Political
"Houston-The Woodlands-Sugar Land, TX Metro Area",1856855,1856855,5140529,5140529,5140529,32996,65394,3546993,167282,936531,1094,565755,,6997384,3473756,3473756,1648768,1648768,1045481,1045481,1045481,2,541509,541509,4245518,4245518,1253218,1048410,2062821,2359266
"Huntington-Ashland, WV-KY-OH Metro Area",73847,73847,278976,278976,278976,25801,45535,146529,19166,37022,732,49835,204700,352823,171415,171415,,,89251,89251,89251,0.7,23271,23271,277044,277044,69507,57029,133523,136769
"Huntsville, AL Metro Area",102489,102489,360204,360204,360204,34224,63765,230430,12337,60054,834,42780,124100,462693,228162,228162,,,70028,70028,70028,0.2,48189,48189,349905,349905,135501,40227,169903,185056
"Huntsville, TX Micro Area",12481,12481,72512,72512,72512,19169,40500,29319,972,11666,912,8756,187000,84993,46914,46914,,,22885,22885,22885,2.8,3728,3728,68287,68287,,,38460,27735
"Hutchinson, KS Micro Area",13886,13886,48456,48456,48456,26457,48837,31159,1467,7852,703,7690,143700,62342,32100,32100,,,11644,11644,11644,0.6,3903,3903,47840,47840,,,24399,25256
"Idaho Falls, ID Metro Area",46869,46869,102182,102182,102182,27496,58880,67481,2609,15215,805,12422,107800,149051,75143,75143,,,24300,24300,24300,3.1,8351,8351,98549,98549,17238,27815,48806,50354
"Indiana, PA Micro Area",14818,14818,69683,69683,69683,25145,49448,38721,4051,9782,679,12185,205400,84501,42527,42527,,,23583,23583,23583,0.1,6530,6530,68620,68620,6699,15596,34330,33098
"Indianapolis-Carmel-Anderson, IN Metro Area",505065,505065,1543363,1543363,1543363,32723,61022,1072532,80707,276374,907,148694,122100,2048428,999436,999436,142553,142553,376270,376270,376270,0.9,169279,169279,1467094,1467094,290785,447232,700558,783345
