CITY,Total Population Under 18, Total Population Under 18, Total Population of 18+, Total Population of 18+, Total Population of 18+, Per Capita Income, Median Household Income, Total Civilian Labor Force, Employed Health Insurance Coverage Ages 19-64, Renter-Occupied Housing Units, Median Rent for Occupied Housing Units, Estimate of Owner-Occupied Housing Units Without a Mortgage, Median Housing Cost, Total Population Estimate, Total Male Population Estimate, Total Male Population Estimate, Estimate of Foreign-Born Population, Estimate of Foreign-Born Population, Estimate of Ages Above 25 Years With a High School Degree, Estimate of Ages Above 25 Years With a High School Degree, Estimate of Ages Above 25 Years With a High School Degree, % Workers Taking Taxi to Work, Estimate of Population >25 With a Graduate Degree, Estimate of Population >25 With a Graduate Degree, Estimate of Voting Age Population, Estimate of Voting Age Population, Estimate of Homes Using Electric Heat, Estimate of Homes Using Gas, Estimate of Male Citizen Voting Population, Estimate of Total Households With Computers and Internet
NAME,"
DP05_0019E","
DP05_0019E",DP05_0025E,DP05_0025E,DP05_0025E,DP03_0088E,DP03_0062E,DP03_0008PE,DP03_0107E,DP04_0047E,DP04_0134E,DP04_0092E,DP04_0089E,DP05_0001E,DP05_0002E,DP05_0002E,DP02_0103E,DP02_0103E,DP02_0061E,DP02_0061E,DP02_0061E,DP03_0021PE,DP02_0065E,DP02_0065E,DP05_0087E,DP05_0087E,DP04_0065E,DP04_0063E,DP05_0088E,DP02_0150PE
CATEGORY,Social,Economic,Political,Social,Economic,Economic,Economic,Economic,Economic,Social,Social,Economic,Social,Social,Political,Social,Political,Social,Political,Social,Economic,Environmental,Political,Social,Political,Social,Environmental,Environmental,Political,Political
"Houston-The Woodlands-Sugar Land, TX Metro Area",15274,15274,59787,59787,59787,31000,61026,33088,4034,8256,2.17,857,12609,9055,220600,75061,75061,37879,37879,3634,3634,2414,2414,2414,6307,6307,57698,57698,21321,2497,29248,0.1
"Huntington-Ashland, WV-KY-OH Metro Area",41350,41350,130445,130445,130445,26603,54808,77557,4678,24309,2.45,887,18479,18962,133500,171795,171795,86747,86747,6304,6304,7054,7054,7054,17779,17779,126358,126358,,,63188,0.6
"Huntsville, AL Metro Area",20522,20522,77929,77929,77929,28046,53865,46582,5156,9651,2.29,760,16870,11978,144300,98451,98451,49744,49744,,,5024,5024,5024,9466,9466,76326,76326,3008,27694,38605,0
"Huntsville, TX Micro Area",49513,49513,239364,239364,239364,10725,16311,91197,32062,32897,2.54,404,17477,51194,93700,288877,288877,141571,141571,null,null,null,null,null,null,null,238110,238110,,,115311,null
"Hutchinson, KS Micro Area",141888,141888,561591,561591,561591,34122,57158,373151,38448,96799,2.22,830,120016,68832,157200,703479,703479,343036,343036,19985,19985,26242,26242,26242,98114,98114,545884,545884,39230,231415,260568,0.2
"Idaho Falls, ID Metro Area",15480,15480,52010,52010,52010,21037,39371,23452,6559,8847,2.64,745,,,119100,67490,67490,35491,35491,6117,6117,3041,3041,3041,3887,3887,46639,46639,5424,14156,24370,0.3
"Indiana, PA Micro Area",34411,34411,112973,112973,112973,23331,40625,65732,5708,25108,2.64,744,16075,12945,125600,147384,147384,69726,69726,,,13459,13459,13459,9354,9354,111651,111651,,,51202,
"Indianapolis-Carmel-Anderson, IN Metro Area",28785,28785,100964,100964,100964,29151,61488,62663,7942,16114,2.4,1034,22667,10626,257200,129749,129749,64495,64495,4566,4566,8157,8157,8157,11093,11093,98305,98305,22645,21025,47960,0.2
"Jonesboro, AR Metro Area",170336,170336,710045,710045,710045,38497,73398,473138,48898,129886,2.01,1043,148565,84051,227000,880381,880381,431545,431545,48615,48615,32279,32279,32279,134620,134620,682302,682302,55639,220081,329870,1
"Joplin, MO Metro Area",24335,24335,72439,72439,72439,24572,49467,42667,1598,10446,2.89,652,12604,12280,135600,96774,96774,46375,46375,5915,5915,7177,7177,7177,9708,9708,67684,67684,24794,9134,33055,0.3
