CITY,Total Population,TOTAL POPULATION under 18,Total Population of 18+,Renter Occupied Housing Units,Total Population Estimate,Average Household Size Renters,Median Rent for Occupied Housing Units,Median Housing Cost,Total Male Population Estimate,Estimate of Foriegn -born Population,Estimate of ages above 25yrs with a high school degree,Estimate of population >25 with a graduate degree,Estimate of voting age population,TOTAL POPULATION under 18,Total Population of 18+,Estimate of ages above 25yrs with a high school degree,Per Capita Income ,Median Household Income,TOTAL CIVILIAN labor Force,Employed health insurance coverage ages 19-64,Estimate of Owner Occupied Housing Units with a Mortgage,Estimate of Owner Occupied Housing Units without a Mortgage,Total Population of 18+,Total Population,Total Male Population Estimate,Estimate of Foriegn -born Population,Estimate of ages above 25yrs with a high school degree,%foriegn born,Estimate of population >25 with a graduate degree,Estimate of voting age population,Estimate of Male Citizen voting population ,Estimate of Total Households with comuters and Internet,Estimate of Homes using Electric Heat,Estimate of homes using Gas
NAME,,DP05_0019E,DP05_0025E,DP04_0047E,DP05_0001E,DP04_0049E,DP04_0134E,DP04_0089E,DP05_0002E,DP02_0103E,DP02_0061E,DP02_0065E,DP05_0087E,DP05_0019E,DP05_0025E,DP02_0061E,DP03_0088E,DP03_0062E,DP03_0008PE,DP03_0107E,DP04_0091E,DP04_0092E,DP05_0025E,DP05_0001E,DP05_0002E,DP02_0103E,DP02_0061E,DP02_0095PE,DP02_0065E,DP05_0087E,DP05_0088E,DP02_0150PE,DP04_0065E,DP04_0063E
CATEGORY,Social,Social,Social,Social,Social,Social,Social,Social,Social,Social,Social,Social,Social,Economic,Economic,Economic,Economic,Economic,Economic,Economic,Economic,Economic,Political,Political,Political,Political,Political,Political,Political,Political,Political,Political,Environmental,Environmental
"Houston-The Woodlands-Sugar Land, TX Metro Area",#REF!,127874,358542,76338,486416,2.45,1009,195300,243747,8600,16032,53155,344164,127874,358542,16032,28564,59753,199069,26281,60032,38128,358542,486416,243747,8600,16032,32116,53155,344164,172701,0.8,146672,21746
"Huntington-Ashland, WV-KY-OH Metro Area",#REF!,57657,249661,34503,307318,2.21,729,164200,150237,1163,17621,33102,247764,57657,249661,17621,29608,48771,133450,11572,45790,48019,249661,307318,150237,1163,17621,4727,33102,247764,120611,0.6,105829,13364
"Huntsville, AL Metro Area",#REF!,31438,151513,19206,182951,1.89,1234,301800,90781,2265,6480,30344,148153,31438,151513,6480,45580,78938,93353,9090,32339,23508,151513,182951,90781,2265,6480,13187,30344,148153,73362,0.4,8900,18305
"Huntsville, TX Micro Area",#REF!,15421,54743,9333,70164,2.41,921,246000,36217,231,4630,6589,53554,15421,54743,4630,29291,46721,28285,5206,10613,8942,54743,70164,36217,231,4630,2547,6589,53554,26568,1.5,10514,13305
"Hutchinson, KS Micro Area",#REF!,182124,710878,109268,893002,2.24,958,232100,436546,11757,37869,122742,693404,182124,710878,37869,34922,62592,441380,30644,143792,108586,710878,893002,436546,11757,37869,33955,122742,693404,335242,0.9,236325,109317
"Idaho Falls, ID Metro Area",#REF!,18307,65380,10387,83687,2.02,879,151100,41266,,3098,8452,64479,18307,65380,3098,32113,55088,39891,4167,17315,8828,65380,83687,41266,,3098,2395,8452,64479,31152,,,
"Indiana, PA Micro Area",#REF!,28404,110807,19161,139211,2.05,938,218200,69122,602,1801,18022,110124,28404,110807,1801,35911,61342,76293,7477,22197,16642,110807,139211,69122,602,1801,4004,18022,110124,53786,0.6,13764,33935
"Indianapolis-Carmel-Anderson, IN Metro Area",#REF!,117219,361993,57313,479212,2.37,845,181000,233337,9139,27952,52526,353764,117219,361993,27952,29457,53931,230273,31427,67110,63239,361993,479212,233337,9139,27952,14806,52526,353764,169742,0.2,139781,43913
"Jonesboro, AR Metro Area",#REF!,45460,178793,35339,224253,2,907,187300,113340,11012,7121,30525,167063,45460,178793,7121,28426,53559,114768,8367,34928,18586,178793,224253,113340,11012,7121,18940,30525,167063,83608,0.6,28092,48322
"Joplin, MO Metro Area",#REF!,23287,80974,14060,104261,2.5,840,146400,52398,1857,8057,8444,77698,23287,80974,8057,26710,49287,49736,2529,14803,10327,80974,104261,52398,1857,8057,4599,8444,77698,36184,,29053,6412
"Kahului-Wailuku-Lahaina, HI Metro Area",#REF!,51279,157401,17890,208680,2.82,988,207500,101204,,9825,24288,151593,51279,157401,9825,30000,58736,96863,14110,29925,24931,157401,208680,101204,,9825,8604,24288,151593,74002,,,
"Ithaca, NY Metro Area",#REF!,15171,55214,7928,70385,2.22,742,173800,37418,,2864,6362,54149,15171,55214,2864,28104,54077,30958,2978,,,55214,70385,37418,,2864,2995,6362,54149,28654,0.1,24285,1192
"Jackson, MI Metro Area",#REF!,35777,181915,26980,217692,2.24,885,250300,110490,1747,15617,15766,176185,35777,181915,15617,30459,46616,84886,9904,38040,37378,181915,217692,110490,1747,15617,17206,15766,176185,88975,1,62506,30690
"Jackson, MS Metro Area",#REF!,166776,586744,84838,753520,2.84,1110,212500,371364,21635,33433,77997,548210,166776,586744,33433,28195,56379,338901,24298,107861,83770,586744,753520,371364,21635,33433,78550,77997,548210,266378,0.3,262932,6101
"Jackson, TN Metro Area",#REF!,129270,424382,64619,553652,2.37,1139,256500,273397,13109,23206,68926,413921,129270,424382,23206,36425,75688,288213,23538,86724,58720,424382,553652,273397,13109,23206,32431,68926,413921,201603,0.7,74648,71079
"Jacksonville, FL Metro Area",#REF!,109541,430740,70841,540281,1.95,917,179200,266794,14101,17079,75666,416630,109541,430740,17079,33799,61980,273483,27998,94404,54822,430740,540281,266794,14101,17079,33674,75666,416630,202615,0.5,36382,144400
"Jacksonville, NC Metro Area",#REF!,84975,182970,28534,267945,3.03,860,154500,132561,17633,19980,21906,140757,84975,182970,19980,21427,51867,114343,8666,27390,22806,182970,267945,132561,17633,19980,69229,21906,140757,72242,,66740,9688
"Jamestown-Dunkirk-Fredonia, NY Micro Area",#REF!,52108,169400,31337,221508,2.21,751,186400,109184,6192,13809,24028,153475,52108,169400,13809,26044,45178,99896,20720,28675,25009,169400,221508,109184,6192,13809,33240,24028,153475,76817,0.5,29026,47906
"Janesville-Beloit, WI Metro Area",#REF!,520341,1772135,370204,2292476,2.54,1325,365800,1147700,95838,112942,288651,1561485,520341,1772135,112942,33387,63677,1152841,115174,334797,149288,1772135,2292476,1147700,95838,112942,488561,288651,1561485,776146,0.3,323126,500861
"Jefferson, GA Micro Area",#REF!,19331,63397,5667,82728,2.55,628,101300,40467,,4430,5658,61454,19331,63397,4430,22852,41012,33643,2728,,,63397,82728,40467,,4430,2548,5658,61454,27796,,,
"Jefferson City, MO Metro Area",#REF!,20906,98457,24839,119363,1.94,870,240900,60485,,1758,21097,94468,20906,98457,1758,33246,56576,66222,2820,16600,8320,98457,119363,60485,,1758,6556,21097,94468,47406,0.6,,
"Johnson City, TN Metro Area",#REF!,30581,96497,21811,127078,2.5,789,150400,66557,840,5854,12722,93833,30581,96497,5854,26187,49422,50726,6369,13973,11132,96497,127078,66557,840,5854,6188,12722,93833,49682,0.4,26824,17150
"Johnstown, PA Metro Area",#REF!,37991,185480,22740,223471,2.08,1075,244300,111457,3667,7215,36622,181954,37991,185480,7215,42198,72588,115467,10516,34458,28936,185480,223471,111457,3667,7215,9748,36622,181954,90307,0.7,6429,2832
"Aberdeen, WA Micro Area",#REF!,32462,111031,16350,143493,2.27,893,213300,71668,1494,7293,14714,109493,32462,111031,7293,35066,72732,71594,6019,22549,16007,111031,143493,71668,1494,7293,5843,14714,109493,53844,0.5,14165,16207
"Abilene, TX Metro Area",#REF!,12992,51859,8192,64851,2.32,835,289900,32236,,2170,7344,51646,12992,51859,2170,36115,57610,31787,3158,10295,8532,51859,64851,32236,,2170,774,7344,51646,25590,1,9780,14119
"Adrian, MI Micro Area",#REF!,23310,87724,14116,111034,1.9,866,219800,54544,2375,2966,12510,85888,23310,87724,2966,32734,62958,57794,5563,21479,10728,87724,111034,54544,2375,2966,4633,12510,85888,41667,0.6,3476,5973
"Aguadilla-Isabela, PR Metro Area",#REF!,112820,405026,85604,517846,2.1,952,235900,252861,16223,16445,78611,386421,112820,405026,16445,36243,62612,273982,32267,87473,42536,405026,517846,252861,16223,16445,36710,78611,386421,185206,1,127148,81366
"Akron, OH Metro Area",#REF!,23390,78280,13942,101670,2.24,784,144100,51495,,3505,7964,77633,23390,78280,3505,27991,51497,46469,5816,16329,10750,78280,101670,51495,,3505,2588,7964,77633,38908,0.8,10630,25174
"Alamogordo, NM Micro Area",#REF!,77469,265566,53164,343035,2.05,901,236000,173566,12926,7700,57468,254294,77469,265566,7700,34939,65229,194752,10161,54440,30605,265566,343035,173566,12926,7700,24663,57468,254294,127227,0.4,48285,82192
"Albany, GA Metro Area",#REF!,174480,575193,110079,749673,2.23,921,183700,364975,9521,22947,102560,560301,174480,575193,22947,33979,58357,367779,37626,125079,73278,575193,749673,364975,9521,22947,29318,102560,560301,266167,0.4,163146,130097
"Albany, OR Metro Area",#REF!,45300,107192,16373,152492,2.72,943,358500,76006,1940,1781,19909,103134,45300,107192,1781,28804,67022,78194,4971,20626,11181,107192,152492,76006,1940,1781,8509,19909,103134,50598,1.2,6788,35185
"Albany-Schenectady-Troy, NY Metro Area",#REF!,35481,115080,16430,150561,2.37,694,115200,74059,,10936,7573,114449,35481,115080,10936,20566,40951,57364,12100,17007,21944,115080,150561,74059,,10936,1546,7573,114449,55292,,37345,11595
"Albertville, AL Micro Area",#REF!,70553,217315,30491,287868,2.31,878,155700,142689,4990,13644,27332,205772,70553,217315,13644,29315,56777,130723,7339,34684,40976,217315,287868,142689,4990,13644,20719,27332,205772,102675,0.4,73356,28149
"Albuquerque, NM Metro Area",#REF!,25358,86166,15175,111524,2.26,1022,358500,55779,476,5364,8968,84433,25358,86166,5364,33803,71194,48925,8130,17890,10139,86166,111524,55779,476,5364,3825,8968,84433,41647,0.2,37269,2103
"Alexandria, LA Metro Area",#REF!,2750536,10246817,2275782,12997353,2.71,1786,748700,6441971,748839,660018,2147221,8481966,2750536,10246817,660018,40569,82503,6822523,935068,1489442,687556,10246817,12997353,6441971,748839,660018,4231132,2147221,8481966,4135236,0.2,1257664,2844567
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",#REF!,285480,999346,164304,1284826,2.13,954,220500,629809,44799,52875,173546,956410,285480,999346,52875,35788,64029,656715,74304,236749,121868,999346,1284826,629809,44799,52875,88254,173546,956410,461093,0.7,222483,270576
"Altoona, PA Metro Area",#REF!,77421,249125,55779,326546,2.1,972,175000,160944,5138,13515,40117,242065,77421,249125,13515,31512,57634,171123,10104,40285,33028,249125,326546,160944,5138,13515,16560,40117,242065,118083,0.3,76224,48748
"Amarillo, TX Metro Area",#REF!,21980,64526,11793,86506,2.33,909,136000,43339,,4087,6351,59726,21980,64526,4087,25129,50045,36963,4170,9951,10794,64526,86506,43339,,4087,7300,6351,59726,28772,,,
"Ames, IA Metro Area",#REF!,29107,87221,15027,116328,2.63,683,88400,55740,1853,10872,6914,83618,29107,87221,10872,20504,37008,46973,4886,10597,17905,87221,116328,55740,1853,10872,5436,6914,83618,39634,,33780,4045
"Anchorage, AK Metro Area",#REF!,51807,211764,28664,263571,2.27,874,207700,129289,4518,10110,33697,207192,51807,211764,10110,33233,58617,133251,13847,44902,30328,211764,263571,129289,4518,10110,9148,33697,207192,100120,0.3,83805,6997
"Ann Arbor, MI Metro Area",#REF!,54096,178679,30546,232775,2.61,896,158000,111986,1319,13623,21290,176098,54096,178679,13623,30454,53397,105409,6755,30274,24940,178679,232775,111986,1319,13623,5755,21290,176098,82472,0.1,,
"Anniston-Oxford-Jacksonville, AL Metro Area",#REF!,43957,115453,15956,159410,3.66,1081,348500,78590,3061,12339,11339,99252,43957,115453,12339,27597,63454,66258,14156,17754,10338,115453,159410,78590,3061,12339,28348,11339,99252,46968,0.2,12928,16053
"Appleton, WI Metro Area",#REF!,137739,545444,114824,683183,1.99,1157,324300,342561,25629,11157,136882,515782,137739,545444,11157,43084,76731,388129,23740,120667,57428,545444,683183,342561,25629,11157,58148,136882,515782,256591,0.6,60023,197909
"Arecibo, PR Metro Area",#REF!,84195,339884,54163,424079,2.17,1393,361000,212641,15867,11181,77289,325271,84195,339884,11181,47218,91627,246791,14809,75314,38422,339884,424079,212641,15867,11181,41485,77289,325271,162806,0.6,19209,65381
"Asheville, NC Metro Area",#REF!,30551,103381,23918,133932,2.31,925,206300,70818,3963,2708,18513,98184,30551,103381,2708,30579,57835,65188,4902,16524,10576,103381,133932,70818,3963,2708,9033,18513,98184,51843,0.7,16640,27377
"Ashtabula, OH Micro Area",#REF!,16466,65039,9806,81505,1.69,664,163500,41244,718,3518,8715,64134,16466,65039,3518,32503,57918,40133,4551,13797,12113,65039,81505,41244,718,3518,1840,8715,64134,31904,0,4352,24381
"Athens, OH Micro Area",#REF!,21133,82479,12887,103612,1.95,898,225100,53464,2177,1888,13920,80676,21133,82479,1888,34816,70130,60362,8215,16466,11362,82479,103612,53464,2177,1888,5239,13920,80676,40631,0.8,6614,28569
"Athens, TX Micro Area",#REF!,27360,97835,15631,125195,2.32,718,148000,63575,,5545,9339,97481,27360,97835,5545,28697,51158,58643,7895,19583,14322,97835,125195,63575,,5545,2389,9339,97481,49820,0.5,9465,32475
"Athens-Clarke County, GA Metro Area",#REF!,12142,53032,4639,65174,2.04,662,127200,33220,199,1866,6436,52365,12142,53032,1866,30698,58276,30606,2746,11219,11776,53032,65174,33220,199,1866,1256,6436,52365,26744,0.2,2458,14059
"Atlanta-Sandy Springs-Roswell, GA Metro Area",#REF!,14059,52204,7298,66263,2.07,723,108900,31746,,3612,6382,50935,14059,52204,3612,25620,49401,31124,4342,10791,8253,52204,66263,31746,,3612,1925,6382,50935,23673,0.7,,
"Auburn, NY Micro Area",#REF!,13890,51401,7640,65291,2.29,807,130100,34957,,2905,4424,51118,13890,51401,2905,26216,48919,27054,3252,10184,6868,51401,65291,34957,,2905,801,4424,51118,27613,,,
"Atlantic City-Hammonton, NJ Metro Area",#REF!,11451,54652,8135,66103,1.96,872,184000,33779,468,1856,9459,54211,11451,54652,1856,29737,55301,31958,3697,11708,7447,54652,66103,33779,468,1856,1358,9459,54211,27842,0.4,3279,18496
"Auburn-Opelika, AL Metro Area",#REF!,15417,81086,16392,96503,2.64,392,109900,46704,null,null,null,79477,15417,81086,null,11651,16618,34381,10011,,,81086,96503,46704,null,null,null,null,79477,37744,null,,
"Augusta-Richmond County, GA-SC Metro Area",#REF!,19309,67099,11789,86408,2.15,676,142300,42278,,3877,5260,66990,19309,67099,3877,28809,51173,41136,7838,13626,8461,67099,86408,42278,,3877,,5260,66990,32697,,9807,18038
"Augusta-Waterville, ME Micro Area",#REF!,278296,602060,93671,880356,2.97,820,107500,433722,48060,64484,71252,457845,278296,602060,64484,19123,44818,360217,20501,66659,108268,602060,880356,433722,48060,64484,225643,71252,457845,225539,0,242458,15008
"Austin-Round Rock, TX Metro Area",#REF!,16720,66631,7411,83351,2.21,719,129400,41387,563,2655,8036,65926,16720,66631,2655,31247,55593,35856,4259,12296,13189,66631,83351,41387,563,2655,1426,8036,65926,32275,0.7,4127,15596
"Bakersfield, CA Metro Area",#REF!,45935,177799,28806,223734,2.24,1146,368700,109121,2378,8395,33376,171345,45935,177799,8395,33150,64249,102617,16602,37556,24455,177799,223734,109121,2378,8395,15390,33376,171345,82314,0.5,47786,34177
"Baltimore-Columbia-Towson, MD Metro Area",#REF!,329403,1007035,201014,1336438,2.47,1028,212800,639767,30668,59358,169981,966300,329403,1007035,59358,32778,55840,661932,51890,204768,114527,1007035,1336438,639767,30668,59358,75470,169981,966300,451666,0.2,258003,239329
"Bangor, ME Metro Area",#REF!,83250,203211,41674,286461,3.33,1160,345700,145221,10663,17822,16472,160364,83250,203211,17822,23118,53992,122480,24437,27448,15845,203211,286461,145221,10663,17822,73149,16472,160364,78846,0.1,27332,50914
