CITY,Total Population,TOTAL POPULATION under 18,TOTAL POPULATION under 18,Total Population of 18+,Total Population of 18+,Total Population of 18+,Per Capita Income ,Median Household Income,TOTAL CIVILIAN labor Force,Employed health insurance coverage ages 19-64,Renter Occupied Housing Units,Average Household Size Renters,Median Rent for Occupied Housing Units,Estimate of Owner Occupied Housing Units with a Mortgage,Estimate of Owner Occupied Housing Units without a Mortgage,Median Housing Cost,Total Population,Total Population Estimate,Total Male Population Estimate,Total Male Population Estimate,Estimate of Foriegn -born Population,Estimate of Foriegn -born Population,Estimate of ages above 25yrs with a high school degree,Estimate of ages above 25yrs with a high school degree,Estimate of ages above 25yrs with a high school degree,%foriegn born,%foriegn born,Estimate of population >25 with a graduate degree,Estimate of population >25 with a graduate degree,Estimate of voting age population,Estimate of voting age population,Estimate of Homes using Electric Heat,Estimate of homes using Gas,Estimate of Male Citizen voting population ,Estimate of Total Households with comuters and Internet
NAME,DP05_0019E,DP05_0019E,DP05_0025PE,DP05_0025PE,DP05_0025PE,DP03_0088E,DP03_0062E,DP03_0008PE,DP03_0107E,DP04_0047E,DP04_0134E,DP04_0092E,DP04_0089E,DP05_0001E,DP05_0002E,DP05_0002E,DP02_0103E,DP02_0103E,DP02_0061E,DP02_0061E,DP02_0061E,DP03_0021PE,DP02_0065E,DP02_0065E,DP05_0087E,DP05_0087E,DP04_0065E,DP04_0063E,DP05_0088E,DP02_0150PE,,,,,
CATEGORY,Social,Social,Economic,Political,Social,Economic,Economic,Economic,Economic,Economic,Social,Social,Social,Economic,Economic,Social,Social,Political,Social,Political,Social,Political,Political,Social,Economic,Political,Social,Political,Social,Political,Social,Environmental,Environmental,Political,Political
"Houston-The Woodlands-Sugar Land, TX Metro Area",39507,39507,210928,210928,210928,14944,21290,97014,36656,30177,548,44096,136500,250435,122483,122483,342,342,3783,3783,3783,0,10608,10608,-999999999,-999999999,-999999999,-999999999,-999999999,0.5,,,,,
"Huntington-Ashland, WV-KY-OH Metro Area",19848,19848,77672,77672,77672,32697,63952,46801,5838,7902,922,13221,198200,97520,49318,49318,2379,2379,4482,4482,4482,0,6373,6373,131,131,3729,28656,3138,0.3,,,,,
"Huntsville, AL Metro Area",15405,15405,61885,61885,61885,33744,67221,32422,4943,7681,1041,10753,323200,77290,39517,39517,2895,2895,7214,7214,7214,2.1,20258,20258,113,113,22738,2719,3170,0.4,,,,,
"Huntsville, TX Micro Area",40956,40956,139268,139268,139268,31610,61262,82025,4671,25067,1221,20351,180400,180224,92252,92252,22918,22918,21085,21085,21085,0.2,112527,112527,1344,1344,38447,24128,6435,0.8,,,,,
"Hutchinson, KS Micro Area",138499,138499,559899,559899,559899,42100,70125,374713,43354,94990,1029,76508,216000,698398,341802,341802,3536,3536,4385,4385,4385,1.1,6322,6322,3832,3832,47678,231165,36120,-999999999,,,,,
"Idaho Falls, ID Metro Area",14760,14760,54075,54075,54075,28419,50762,29774,7587,7517,965,9624,154200,68835,35602,35602,1214,1214,8667,8667,8667,0.1,8582,8582,49,49,5830,11953,1569,0.6,,,,,
"Indiana, PA Micro Area",35240,35240,111822,111822,111822,29142,53056,65213,6640,27734,858,11845,164100,147062,69369,69369,844,844,5315,5315,5315,0.4,15721,15721,810,810,-999999999,-999999999,4191,1.2,,,,,
"Indianapolis-Carmel-Anderson, IN Metro Area",28883,28883,102613,102613,102613,35514,70548,63783,10789,17097,1359,11637,398300,131496,65546,65546,34573,34573,22031,22031,22031,0,138506,138506,317,317,26358,20420,6658,0.5,,,,,
