CITY,Total Population 65-74 %,Total Population 65-74 %,Total Population 65-74 %,16+ Yrs Not in Labor Force %,Percetage of Labor Force with Public Health Insurance,Percent of Population Employed Health Insurance Coverage Ages 19-64,of Owner Occupied Housing Units %,"Homes Using Oil, Kerosene for Heat Energy %",Homes Using Coal for Heat Energy %,Homes with No Heat %,Homes Using Wood for Heat Energy %,Homes Using Solar Energy %,Workers Carpooling %,Homes Heating with Coal %,Foriegn Born %,Foriegn Born %,Homes Heating with Wood %,Workers Taking Taxi to Work %,Workers Taking Taxi to Work %.

NAME,DP05_0015PE,DP05_0015PE,DP05_0015PE,DP03_0007PE,DP03_0112PE,DP03_0107PE,DP04_0046PE,DP04_0066PE,DP04_0067E,DP04_0071PE,DP04_0068E,DP04_0069E,DP03_0020PE,DP04_0067PE,DP02_0095PE,DP02_0095PE,DP04_0068PE,DP03_0021PE,DP03_0021PE
CATEGORY,Social,Political,Economical,Economic,Economic,Economic,Social,Envronmental,Environmental,Environmental,Environmental,Environmental,Environmental,Environmental,Political,Social,Environmental,Environmental,Social
"Houston-The Woodlands-Sugar Land, TX Metro Area",7.1,7.1,7.1,33.5,14.3,5.3,60.3,0.1,195,0.4,1884,771,9.4,0,60.5,60.5,0.1,2,2
"Huntington-Ashland, WV-KY-OH Metro Area",11.4,11.4,11.4,48.9,47.5,15.2,72.9,0.3,52,0.3,2554,0,8.3,0,57.2,57.2,1.9,0.7,0.7
"Huntsville, AL Metro Area",8.9,8.9,8.9,38,23.6,6.1,67.5,0.2,0,0.4,581,0,5.2,0,48.3,48.3,0.3,0.2,0.2
"Huntsville, TX Micro Area",9.5,9.5,9.5,60.2,25,3.6,57.9,,,,,,4.2,,77.7,77.7,,2.8,2.8
"Hutchinson, KS Micro Area",10.4,10.4,10.4,37.6,3.7,5.6,68.9,,,,,,7,,53.2,53.2,,0.6,0.6
"Idaho Falls, ID Metro Area",7.6,7.6,7.6,36.8,32.8,4.4,69.8,0.8,16,0.3,1992,30,10.9,0,54.6,54.6,4,3.1,3.1
"Indiana, PA Micro Area",10.9,10.9,10.9,45.6,20.8,11.9,70.4,17.5,603,0.2,1600,0,8.2,1.8,62.6,62.6,4.8,0.1,0.1
