CITY,Total Population 65-74 %,Total Population 65-74 %,Total Population 65-74 %,16+ Yrs Not in Labor Force %,Percetage of Labor Force with Public Health Insurance,Percent of Population Employed Health Insurance Coverage Ages 19-64,of Owner Occupied Housing Units %,"Homes Using Oil, Kerosene for Heat Energy %",Homes Using Coal for Heat Energy %,Homes with No Heat %,Homes Using Wood for Heat Energy %,Homes Using Solar Energy %,Workers Carpooling %,Homes Heating with Coal %,Foriegn Born %,Foriegn Born %,Homes Heating with Wood %,Workers Taking Taxi to Work %,Workers Taking Taxi to Work %.

NAME,DP05_0015PE,DP05_0015PE,DP05_0015PE,DP03_0007PE,DP03_0112PE,DP03_0107PE,DP04_0049E,DP04_0046PE,DP04_0066PE,DP04_0067E,DP04_0071PE,DP04_0068E,DP04_0069E,DP03_0020PE,DP04_0067PE,DP02_0095PE,DP02_0095PE,DP04_0068PE,DP03_0021PE,DP03_0021PE
CATEGORY,Social,Political,Economic,Economic,Economic,Economic,Social,Social,Envronmental,Environmental,Environmental,Environmental,Environmental,Environmental,Environmental,Political,Social,Environmental,Environmental,Social
"Houston-The Woodlands-Sugar Land, TX Metro Area",14.1,14.1,14.1,46.2,54.6,14.4,2.17,72.4,1.4,49,0.8,3521,0,10.1,0.2,42.8,42.8,11.8,1.9,1.9
"Huntington-Ashland, WV-KY-OH Metro Area",8.5,8.5,8.5,38.8,21.1,6.9,2.45,60.6,,,,,,10.8,,45.5,45.5,,0.2,0.2
"Huntsville, AL Metro Area",11.7,11.7,11.7,41.9,34.1,12.8,2.29,74.9,1.7,0,0.2,1086,10,6.9,0,32.4,32.4,2.8,1,1
"Huntsville, TX Micro Area",12.2,12.2,12.2,62.8,71,41.5,2.54,67.6,,,,,,8.5,,null,null,,1,1
"Hutchinson, KS Micro Area",10.6,10.6,10.6,35.4,43.5,12,2.22,66.1,1.7,370,0.3,2374,0,6.7,0.1,50,50,0.8,0.9,0.9
"Idaho Falls, ID Metro Area",10.2,10.2,10.2,48.7,58.6,34,2.64,63.3,1.7,0,0.2,2024,28,11.4,0,37.6,37.6,8.4,1,1
"Indiana, PA Micro Area",10.6,10.6,10.6,43.4,19.9,10.4,2.64,53.6,,,,,,13.5,,53.6,53.6,,2.6,2.6
"Indianapolis-Carmel-Anderson, IN Metro Area",11.4,11.4,11.4,40.5,48.8,14,2.4,67.4,0.9,0,0.1,3359,63,11,0,49.3,49.3,6.8,0.2,0.2
"Jonesboro, AR Metro Area",10.5,10.5,10.5,35,40.2,11.9,2.01,64.2,13.7,374,0.4,9863,595,8.8,0.1,58,58,2.7,3.4,3.4
"Joplin, MO Metro Area",10.1,10.1,10.1,43.4,34.4,4.2,2.89,70.4,0,0,0.1,344,0,9.2,0,31.9,31.9,1,0,0
"Kahului-Wailuku-Lahaina, HI Metro Area",10.4,10.4,10.4,37.7,59.5,19.9,2.42,67.7,0,462,0.2,11594,1530,8.3,0.1,52.2,52.2,3.3,1.7,1.7
"Ithaca, NY Metro Area",9.7,9.7,9.7,43.7,63.5,24.1,2.75,66.4,,,,,,9,,44.6,44.6,,2.6,2.6
"Jackson, MI Metro Area",10.4,10.4,10.4,36.1,34.4,9.7,2.44,67.3,25.4,3379,0.6,4869,422,8.2,1,60.3,60.3,1.5,1.5,1.5
"Jackson, MS Metro Area",11.7,11.7,11.7,39.2,58.6,14.9,2.1,70.6,24.6,766,0.4,1524,0,7.7,1.5,44.6,44.6,2.9,0.7,0.7
"Jackson, TN Metro Area",8.6,8.6,8.6,36.8,15.2,4.7,2.35,64.5,0.5,0,0.4,155,7,9.6,0,29.1,29.1,0.2,0.1,0.1
"Jacksonville, FL Metro Area",8.1,8.1,8.1,35,20.1,7,1.99,61.3,,,,,,8,,31,31,,5.9,5.9
"Jacksonville, NC Metro Area",7.8,7.8,7.8,32.1,47,13.8,2.56,64.6,6,143,0.4,2691,0,11.1,0.1,65.9,65.9,2,0.9,0.9
"Jamestown-Dunkirk-Fredonia, NY Micro Area",8.7,8.7,8.7,35,38.8,8.1,2.24,62.5,0.7,0,0.3,622,13,7.5,0,44.5,44.5,0.4,4.5,4.5
"Janesville-Beloit, WI Metro Area",10.6,10.6,10.6,44.7,18.1,6.2,2.53,70.5,,,,,,11,,33.9,33.9,,1.3,1.3
"Jefferson, GA Micro Area",9,9,9,29.9,24.3,7.4,2.01,73,1.9,0,1.1,1641,0,5.6,0,57.8,57.8,1.7,0.6,0.6
"Jefferson City, MO Metro Area",11.9,11.9,11.9,56.5,68.9,34.3,2.68,68.3,,,,,,4.5,,null,null,,0.5,0.5
"Johnson City, TN Metro Area",13.4,13.4,13.4,41.3,28.8,5.3,2.17,67.6,8.8,182,0.3,7779,245,7.8,0.1,39.9,39.9,4,0.5,0.5
"Johnstown, PA Metro Area",11.6,11.6,11.6,42.2,56.3,17.2,2.33,68.2,5.4,250,0.1,1239,0,11.6,0.6,86.1,86.1,3.1,0,0
"Aberdeen, WA Micro Area",8.2,8.2,8.2,44.5,34.4,10.7,2.43,65.8,,,,,,6.7,,23,23,,1.7,1.7
"Abilene, TX Metro Area",13.7,13.7,13.7,46.1,10.2,5.9,2.49,68.4,,,,,,11.7,,27.7,27.7,,0.9,0.9
"Adrian, MI Micro Area",9.1,9.1,9.1,37.8,44.9,10.8,2.52,69.7,0,0,0.6,1005,96,8,0,32.9,32.9,0.3,0.7,0.7
"Aguadilla-Isabela, PR Metro Area",10.7,10.7,10.7,38.9,50.5,10.5,2.17,73.2,1,0,0.5,2242,83,9.3,0,56.9,56.9,4.2,1.6,1.6
"Akron, OH Metro Area",8.2,8.2,8.2,38.2,22.9,7.3,2.3,51.6,0,0,0.9,1254,71,9.1,0,47.1,47.1,1.5,2.7,2.7
"Alamogordo, NM Micro Area",7.9,7.9,7.9,33,17,4.9,2.49,64.3,0.1,151,0.3,7017,0,8.9,0,47.6,47.6,0.3,2.8,2.8
"Albany, GA Metro Area",11,11,11,35.9,44.5,10.6,2.36,66.3,6.8,0,1,955,504,7.8,0,57.2,57.2,0.9,3.3,3.3
"Albany, OR Metro Area",11.4,11.4,11.4,39.7,68.9,16.2,2.09,73.1,13.9,522,0.1,1846,18,6.6,1.7,62.2,62.2,5.9,0.9,0.9
"Albany-Schenectady-Troy, NY Metro Area",7.8,7.8,7.8,36.3,19.1,6,2.04,67.3,,,,,,10.1,,39.8,39.8,,0.5,0.5
"Albertville, AL Micro Area",9.9,9.9,9.9,39.9,30.4,9.6,2.69,68.8,0.3,0,0.6,1804,250,8.3,0,57.1,57.1,0.9,0.8,0.8
"Albuquerque, NM Metro Area",12.3,12.3,12.3,36.5,56.3,7.6,1.84,68.8,68.6,77,0.1,4599,37,8.6,0.1,75.8,75.8,8.4,0.1,0.1
"Alexandria, LA Metro Area",7.2,7.2,7.2,28.5,19.7,4.8,2.36,57.6,0.1,281,0.4,1023,1772,9.1,0,37.6,37.6,0.1,1.9,1.9
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",6.9,6.9,6.9,41.8,53.8,23.7,3.2,58.8,0.3,0,1.8,3414,4905,12.3,0,36.7,36.7,1.3,1,1
"Altoona, PA Metro Area",9.3,9.3,9.3,33.2,43.8,11.1,2.34,66.4,8.1,267,0.5,7920,3531,7.8,0,56.7,56.7,0.7,5.9,5.9
"Amarillo, TX Metro Area",11.4,11.4,11.4,38.7,38.5,12,2.07,69.7,59.4,71,0.1,6073,35,9.5,0.1,61.5,61.5,9.5,1,1
"Ames, IA Metro Area",17.9,17.9,17.9,39.3,34,15,2.01,80,21.9,150,0.2,709,117,6,0.2,62.8,62.8,0.7,1.9,1.9
"Anchorage, AK Metro Area",11.8,11.8,11.8,40.6,71.4,12,2.14,74.3,0.6,0,0.1,1349,0,6.3,0,72.6,72.6,3,0.7,0.7
"Ann Arbor, MI Metro Area",8.7,8.7,8.7,42,23.4,5.9,2.53,66.7,,,,,,6.3,,39,39,,0.3,0.3
"Anniston-Oxford-Jacksonville, AL Metro Area",10.5,10.5,10.5,32.8,57.3,8.3,2.28,72,3.5,0,0.6,771,0,10.7,0,44.5,44.5,2.2,0,0
"Appleton, WI Metro Area",13,13,13,50,42.4,21.3,2.15,72.2,2,190,0.5,2564,0,12.9,0.4,56.4,56.4,5.2,0.1,0.1
"Arecibo, PR Metro Area",11.3,11.3,11.3,38.7,28.2,12.6,2.36,64.4,0.9,0,0.6,4668,145,7.8,0,51.3,51.3,5.3,2.9,2.9
"Asheville, NC Metro Area",12.9,12.9,12.9,37,42,13.4,2.38,70.7,0.6,0,0.4,7852,95,11.5,0,63.7,63.7,10.3,0.8,0.8
"Ashtabula, OH Micro Area",11,11,11,33.8,53.9,14.7,1.9,67.7,0.1,0,0.2,1838,113,8.3,0,44.5,44.5,2.4,0.5,0.5
"Athens, OH Micro Area",10.7,10.7,10.7,44,49.3,17.2,2.02,66.6,13.8,1454,0.8,4732,93,8,1.5,52,52,4.8,2.4,2.4
"Athens, TX Micro Area",9.9,9.9,9.9,38.5,22,5.9,2.28,67.7,0.1,48,0.5,1381,0,8.2,0,44.7,44.7,0.3,0.5,0.5
"Athens-Clarke County, GA Metro Area",9.5,9.5,9.5,30.3,31.8,6.8,2.15,70.5,0.2,66,0.9,96,0,8.7,0.1,60.2,60.2,0.2,0.2,0.2
"Atlanta-Sandy Springs-Roswell, GA Metro Area",8.7,8.7,8.7,44,18.4,6.5,2.44,57.8,4.8,0,0.8,1856,79,7.8,0,51.6,51.6,3,2.5,2.5
"Auburn, NY Micro Area",8.1,8.1,8.1,38.3,34.6,7.8,2.28,63.8,0,0,0.6,72,0,5.9,0,47,47,0.1,1.3,1.3
"Atlantic City-Hammonton, NJ Metro Area",8.6,8.6,8.6,39.4,15.3,11,2.41,61.6,0.4,0,0,1637,141,12,0,31.4,31.4,2.6,2.9,2.9
