CITY,Total Population,TOTAL POPULATION under 18,Total Population of 18+,%Total population 65-74,Total Civilian Non-institulionized Population,Renter Occupied Housing Units,Total Population Estimate,Average Household Size Renters,Median Rent for Occupied Housing Units,% of Owner Occupied Housing Units,Median Housing Cost,Total Male Population Estimate,Estimate of Foriegn -born Population,Estimate of ages above 25yrs with a high school degree,TOTAL POPULATION,%foriegn born,%workers taking taxi to work,Estimate of population >25 with a graduate degree,Estimate of voting age population,TOTAL POPULATION under 18,Total Population of 18+,%Total population 65-74,Estimate of ages above 25yrs with a high school degree,Total Civilian Non-institulionized Population,Per Capita Income ,Median Household Income,TOTAL CIVILIAN labor Force,% 16+ Yrs not in labor force,Percetage of Labor force with Public Health Insurance,Employed health insurance coverage ages 19-64,Percent of population Employed health insurance coverage ages 19-64,Estimate of Owner Occupied Housing Units with a Mortgage,Estimate of Owner Occupied Housing Units without a Mortgage,Total Population of 18+,%Total population 65-74,Total Population,Total Male Population Estimate,Estimate of Foriegn -born Population,Estimate of ages above 25yrs with a high school degree,%foriegn born,Estimate of population >25 with a graduate degree,Estimate of voting age population,Estimate of Male Citizen voting population ,Estimate of Total Households with comuters and Internet,"%homes using oil, Kerosene for heat energy",%homes using coal for heat energy,%homes with no heat,%homes using wood for heat energy,%homes using solar energy,%workers carpooling,% homes heating with coal,%homes heating with wood,%workers taking taxi to work,Estimate of Homes using Electric Heat,Estimate of homes using Gas
NAME,,DP05_0019E,DP05_0025E,DP05_0015PE,DP02_0070PE,DP04_0047E,DP05_0001E,DP04_0049E,DP04_0134E,DP04_0046PE,DP04_0089E,DP05_0002E,DP02_0103E,DP02_0061E,,DP02_0095PE,DP03_0021PE,DP02_0065E,DP05_0087E,DP05_0019E,DP05_0025E,DP05_0015PE,DP02_0061E,DP02_0070PE,DP03_0088E,DP03_0062E,DP03_0008PE,DP03_0007PE,DP03_0112PE,DP03_0107E,DP03_0107PE,DP04_0091E,DP04_0092E,DP05_0025E,DP05_0015PE,DP05_0001E,DP05_0002E,DP02_0103E,DP02_0061E,DP02_0095PE,DP02_0065E,DP05_0087E,DP05_0088E,DP02_0150PE,DP04_0066PE,DP04_0067E,DP04_0071PE,DP04_0068E,DP04_0069E,DP03_0020PE,DP04_0067PE,DP04_0068PE,DP03_0021PE,DP04_0065E,DP04_0063E
CATEGORY,Social,Social,Social,Social,Social,Social,Social,Social,Social,Social,Social,Social,Social,Social,Political,Social,Social,Social,Social,Economic,Economic,Economic,Economic,Economic,Economic,Economic,Economic,Economic,Economic,Economic,Economic,Economic,Economic,Political,Political,Political,Political,Political,Political,Political,Political,Political,Political,Political,Envronmental,Environmental,Environmental,Environmental,Environmental,Environmental,Environmental,Environmental,Environmental,Environmental,Environmental
"Houston-The Woodlands-Sugar Land, TX Metro Area",358542,127874,358542,7.4,18.9,76338,486416,2.45,1009,56.3,195300,243747,8600,16032,7.4,32116,0.1,53155,344164,127874,358542,7.4,16032,18.9,28564,59753,199069,37.5,29.4,26281,15.6,60032,38128,358542,7.4,486416,243747,8600,16032,32116,53155,344164,172701,0.8,0,0,0.4,786,962,9.4,0,0,0.1,146672,21746
"Huntington-Ashland, WV-KY-OH Metro Area",249662.1,57657,249661,13.1,7.9,34503,307318,2.21,729,73.1,164200,150237,1163,17621,173.1,4727,0,33102,247764,57657,249661,13.1,17621,7.9,29608,48771,133450,47.7,45.8,11572,10.4,45790,48019,249661,13.1,307318,150237,1163,17621,4727,33102,247764,120611,0.6,1.1,160,0.5,3148,36,5,0.1,0.1,0,105829,13364
"Huntsville, AL Metro Area",151556.9,31438,151513,12.5,4.7,19206,182951,1.89,1234,74.4,301800,90781,2265,6480,148.5,13187,1.2,30344,148153,31438,151513,12.5,6480,4.7,45580,78938,93353,40,61.6,9090,11.8,32339,23508,151513,12.5,182951,90781,2265,6480,13187,30344,148153,73362,0.4,43.9,136,0,3018,132,5.2,0.2,0.2,1.2,8900,18305
"Huntsville, TX Micro Area",54745.1,15421,54743,13.7,9.3,9333,70164,2.41,921,67.7,246000,36217,231,4630,13.7,2547,0,6589,53554,15421,54743,13.7,4630,9.3,29291,46721,28285,47.6,48.6,5206,23.1,10613,8942,54743,13.7,70164,36217,231,4630,2547,6589,53554,26568,1.5,2.1,0,0.3,2944,148,6.8,0,0,0,10514,13305
"Hutchinson, KS Micro Area",710878.2,182124,710878,11.5,7.7,109268,893002,2.24,958,69.8,232100,436546,11757,37869,11.5,33955,0.3,122742,693404,182124,710878,11.5,37869,7.7,34922,62592,441380,39.6,23.5,30644,8,143792,108586,710878,11.5,893002,436546,11757,37869,33955,122742,693404,335242,0.9,0.2,0,0.4,3099,0,5.6,0,0,0.3,236325,109317
"Idaho Falls, ID Metro Area",65380,18307,65380,11.5,8.3,10387,83687,2.02,879,71.6,151100,41266,,3098,11.5,2395,0,8452,64479,18307,65380,11.5,3098,8.3,32113,55088,39891,39.4,57.6,4167,12.5,17315,8828,65380,11.5,83687,41266,,3098,2395,8452,64479,31152,,,,,,,11.9,,,0,,
"Indiana, PA Micro Area",110809,28404,110807,10.7,7.2,19161,139211,2.05,938,67,218200,69122,602,1801,178.7,4004,0.8,18022,110124,28404,110807,10.7,1801,7.2,35911,61342,76293,33.1,37,7477,11,22197,16642,110807,10.7,139211,69122,602,1801,4004,18022,110124,53786,0.6,2,168,0.4,1436,0,5.7,0.3,0.3,0.8,13764,33935
"Indianapolis-Carmel-Anderson, IN Metro Area",361993,117219,361993,9.6,5.6,57313,479212,2.37,845,69.5,181000,233337,9139,27952,9.6,14806,0.2,52526,353764,117219,361993,9.6,27952,5.6,29457,53931,230273,38.4,59.4,31427,15.8,67110,63239,361993,9.6,479212,233337,9139,27952,14806,52526,353764,169742,0.2,0,0,0.2,941,281,6.4,0,0,0.2,139781,43913
