CITY,%Total population 65-74,%Total population 65-74,%Total population 65-74,% 16+ Yrs not in labor force,Percetage of Labor force with Public Health Insurance,Percent of population Employed health insurance coverage ages 19-64,% of Owner Occupied Housing Units,"%homes using oil, Kerosene for heat energy",%homes using coal for heat energy,%homes with no heat,%homes using wood for heat energy,%homes using solar energy,%workers carpooling,% homes heating with coal,%foriegn born,%foriegn born,%homes heating with wood,%workers taking taxi to work,%workers taking taxi to work
NAME,DP05_0015PE,DP05_0015PE,DP05_0015PE,DP03_0007PE,DP03_0112PE,DP03_0107PE,DP04_0046PE,DP04_0066PE,DP04_0067E,DP04_0071PE,DP04_0068E,DP04_0069E,DP03_0020PE,DP04_0067PE,DP02_0095PE,DP02_0095PE,DP04_0068PE,DP03_0021PE,DP03_0021PE
CATEGORY,Social,Political,Economic,Economic,Economic,Economic,Social,Envronmental,Environmental,Environmental,Environmental,Environmental,Environmental,Environmental,Political,Social,Environmental,Environmental,Social
"Houston-The Woodlands-Sugar Land, TX Metro Area",14.9,14.9,14.9,51.8,39.6,16.4,76.6,0.3,0,0.5,2554,0,4.3,0,4409,4409,8.2,1.3,1.3
"Huntington-Ashland, WV-KY-OH Metro Area",8.4,8.4,8.4,37.6,30.3,6,60.6,,,,,,10.8,,13707,13707,,0.6,0.6
"Huntsville, AL Metro Area",12,12,12,41.1,33.3,14.2,78.7,1.1,0,0.8,761,27,8.5,0,1409,1409,2,0,0
"Huntsville, TX Micro Area",12.5,12.5,12.5,59,76.1,43.1,65.9,,,,,,7.7,,null,null,,0,0
"Hutchinson, KS Micro Area",11.5,11.5,11.5,35.9,45.4,13.4,68.5,1.7,0,0.6,1790,45,7.2,0,37501,37501,0.6,0.6,0.6
"Idaho Falls, ID Metro Area",10.3,10.3,10.3,42.9,49.8,30,69.2,0,0,0.4,1528,160,8.4,0,7062,7062,6.1,0.4,0.4
"Indiana, PA Micro Area",10.3,10.3,10.3,42.5,26.3,11.7,58.7,,,,,,11,,4537,4537,,0.6,0.6
"Indianapolis-Carmel-Anderson, IN Metro Area",11.9,11.9,11.9,39.8,44.1,17.2,67.6,0.4,0,0.7,3545,0,13.3,0,6761,6761,6.9,0,0
"Jonesboro, AR Metro Area",11,11,11,35.6,51.3,12.5,63.4,11.9,167,0.5,7479,884,7.6,0,72064,72064,2,2.5,2.5
"Joplin, MO Metro Area",10.4,10.4,10.4,43.3,33.8,7.7,71.7,0.1,104,0.8,279,0,8.6,0.3,6558,6558,0.8,0.1,0.1
"Kahului-Wailuku-Lahaina, HI Metro Area",11.2,11.2,11.2,37.9,50,20.2,71.2,0.1,38,0.6,11665,3143,10.2,0,85195,85195,3.1,1,1
"Ithaca, NY Metro Area",10.1,10.1,10.1,43.3,62,24.1,70.5,0,0,1.2,653,101,6,0,4529,4529,1.2,1.2,1.2
"Jackson, MI Metro Area",11,11,11,35.4,39.1,12,69.1,22.6,2586,0.5,5662,261,8.1,0.8,100620,100620,1.7,1.6,1.6
"Jackson, MS Metro Area",13,13,13,40.9,47.6,13.9,69.9,19.3,291,0.3,1231,22,10,0.6,1077,1077,2.4,0,0
"Jackson, TN Metro Area",9.1,9.1,9.1,37,10.4,8.2,65.6,,,,,,13.9,,23245,23245,,0.3,0.3
"Jacksonville, FL Metro Area",8.7,8.7,8.7,30.7,7.4,7.9,59.7,,,,,,7.8,,8225,8225,,3.3,3.3
"Jacksonville, NC Metro Area",8.7,8.7,8.7,32,48,16.2,67.9,4.6,88,0.5,3369,0,11.1,0.1,33044,33044,2.2,1.1,1.1
"Jamestown-Dunkirk-Fredonia, NY Micro Area",9.3,9.3,9.3,37.4,34.2,10.5,61.2,0.8,0,0.5,709,41,6.9,0,43645,43645,0.5,3.8,3.8
"Janesville-Beloit, WI Metro Area",11.4,11.4,11.4,43.6,60.1,8.4,71.9,,,,,,7.5,,2383,2383,,0.1,0.1
"Jefferson, GA Micro Area",10.2,10.2,10.2,31.2,35.2,7.9,73.9,1.8,0,0.6,1681,251,7.1,0,9603,9603,1.7,0.3,0.3
"Jefferson City, MO Metro Area",11.9,11.9,11.9,54.8,65.6,40.8,68.2,,,,,,2.2,,null,null,,0,0
"Johnson City, TN Metro Area",13.9,13.9,13.9,42.2,34.3,7.8,69.7,8.3,0,0.4,6302,579,9.3,0,28929,28929,3.3,0.6,0.6
"Johnstown, PA Metro Area",12.2,12.2,12.2,41.9,59.6,15.5,74.2,5.8,272,0.3,1958,0,11.2,0.7,975,975,5,0.2,0.2
"Aberdeen, WA Micro Area",13,13,13,41.6,12.9,6.8,74.3,,,,,,14.1,,4835,4835,,0.1,0.1
"Abilene, TX Metro Area",9,9,9,38.7,8,5.4,55.5,0.2,151,0.7,512,0,9.1,0.2,17139,17139,0.6,1.5,1.5
"Adrian, MI Micro Area",8.4,8.4,8.4,32.2,20.7,6.6,66.5,0.1,130,0.6,5085,658,8.6,0,905819,905819,0.2,1.4,1.4
"Aguadilla-Isabela, PR Metro Area",11.7,11.7,11.7,37,45.2,14.3,70,5.5,0,0.5,431,930,10.1,0,40077,40077,0.4,4.1,4.1
"Akron, OH Metro Area",12.7,12.7,12.7,41.3,47.3,12.5,70.9,11.7,420,0.6,2263,78,12.2,1.3,1825,1825,7,0.2,0.2
"Alamogordo, NM Micro Area",8.5,8.5,8.5,39,33.5,6,66.2,,,,,,7.5,,9877,9877,,0.6,0.6
"Albany, GA Metro Area",10.5,10.5,10.5,39.6,29.2,12.6,69.2,0.1,0,0.8,1037,498,6.6,0,27581,27581,0.4,0.9,0.9
"Albany, OR Metro Area",12.8,12.8,12.8,39.9,29.9,14.5,73.7,62.5,33,0.3,5610,64,5.2,0.1,3512,3512,10.3,0.2,0.2
"Albany-Schenectady-Troy, NY Metro Area",7.5,7.5,7.5,28.3,17.4,5.4,58.8,0.1,0,0.4,1085,3204,7,0,383824,383824,0.1,1.1,1.1
