CITY,Total Population 65–74 %,Total Population 65–74 %,Total Population 65–74 %,16+ Years Not in Labor Force %,Unemployed (19–64) With Public Health Insurance %,Employed (19–64) With Public Health Insurance %,Owner-Occupied Housing Units %,Homes Using Oil/Kerosene %,Homes Heating With Coal or Coke,Homes With No Heat %,Homes Heating With Wood,Homes Using Solar Energy,Workers Carpooling %,Homes Using Solar Energy,Foreign-Born Not a U.S. Citizen %,Foreign-Born Not a U.S. Citizen %,Homes Heating With Wood %,Workers Carpooling %,Workers Carpooling %

NAME,DP05_0015PE,DP05_0015PE,DP05_0015PE,DP03_0007PE,DP03_0112PE,DP03_0107PE,DP04_0046PE,DP04_0066PE,DP04_0067E,DP04_0071PE,DP04_0068E,DP04_0069E,DP03_0020PE,DP04_0069E,DP02_0095PE,DP02_0095PE,DP04_0068PE,DP03_0020PE,DP03_0020PE
CATEGORY,Social,Political,Economic,Economic,Economic,Economic,Social,Envronmental,Environmental,Environmental,Environmental,Environmental,Environmental,Environmental,Political,Social,Environmental,Environmental,Social
"Houston-The Woodlands-Sugar Land, TX Metro Area",12.5,12.5,12.5,55.2,79.9,43.7,66.2,,,,,,11.2,,1735,1735,,11.2,11.2
"Huntington-Ashland, WV-KY-OH Metro Area",12.6,12.6,12.6,41.8,47,14.4,80.3,2.6,15,0.5,760,0,7.4,0,4873,4873,1.9,7.4,7.4
"Huntsville, AL Metro Area",14.8,14.8,14.8,48.7,46.6,18.3,74.8,0.3,0,1.2,2236,0,8.9,0,10019,10019,7.3,8.9,8.9
"Huntsville, TX Micro Area",9.9,9.9,9.9,39.6,33.7,6.6,62.3,0.3,0,0.6,484,279,10,279,41872,41872,0.7,10,10
"Hutchinson, KS Micro Area",11.6,11.6,11.6,35,56.1,13.4,68.1,1.5,247,0.6,2415,0,7.2,0,8945,8945,0.8,7.2,7.2
"Idaho Falls, ID Metro Area",10.7,10.7,10.7,38.6,73.1,29.7,70.3,0,72,1.6,3090,220,13.4,220,3933,3933,12.2,13.4,13.4
"Indiana, PA Micro Area",10.7,10.7,10.7,42.8,32.6,12.3,53.2,,,,,,11.8,,5929,5929,,11.8,11.8
"Indianapolis-Carmel-Anderson, IN Metro Area",11.7,11.7,11.7,39.9,78.8,19.1,66.9,0,0,1.1,2681,255,11.1,255,76593,76593,5.2,11.1,11.1
"Jonesboro, AR Metro Area",11.3,11.3,11.3,36.7,45.3,14,63.9,11.3,590,0.6,7508,936,7.5,936,3054,3054,1.9,7.5,7.5
